num_topics,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15
5,account,check,bank,money,fund,chase,deposit,branch,day,business,number,transaction,fee,customer,reason
5,credit,card,report,inquiry,chase,account,score,company,limit,debt,application,information,year,balance,letter
5,loan,mortgage,home,chase,modification,property,year,letter,rate,document,bank,foreclosure,house,sale,time
5,charge,card,chase,transaction,dispute,fraud,claim,merchant,purchase,fee,service,phone,email,time,day
5,payment,balance,fee,interest,month,statement,day,time,date,bill,auto,chase,year,account,rate
6,account,bank,chase,money,fund,branch,number,fee,balance,information,reason,transfer,access,business,deposit
6,credit,card,report,inquiry,chase,score,company,limit,application,debt,year,balance,information,letter,bureaus
6,loan,mortgage,chase,home,modification,property,year,letter,rate,document,foreclosure,bank,house,sale,time
6,charge,chase,card,transaction,dispute,claim,fraud,merchant,purchase,fee,service,phone,day,email,time
6,payment,balance,fee,interest,month,statement,day,time,date,bill,auto,chase,year,credit,rate
6,check,bank,fund,money,deposit,day,branch,cash,chase,claim,hold,business,customer,atm,manager
7,account,bank,chase,money,number,fund,branch,information,reason,access,business,deposit,day,transfer,transaction
7,credit,card,report,inquiry,chase,score,company,limit,application,debt,year,information,letter,balance,bureaus
7,loan,mortgage,home,modification,chase,property,year,rate,letter,document,foreclosure,house,bank,sale,time
7,charge,chase,transaction,card,dispute,claim,fraud,merchant,purchase,service,phone,number,email,day,department
7,fee,balance,interest,overdraft,card,rate,transfer,statement,month,year,purchase,chase,offer,customer,transaction
7,check,bank,fund,money,deposit,day,branch,cash,chase,hold,claim,business,customer,atm,manager
7,payment,month,statement,day,auto,balance,time,interest,date,chase,credit,bill,car,mortgage,error
8,account,bank,chase,money,number,branch,fund,information,reason,access,business,deposit,day,transfer,fraud
8,credit,card,report,inquiry,chase,score,company,limit,application,debt,year,information,letter,bureaus,reporting
8,loan,mortgage,home,modification,chase,property,year,letter,document,foreclosure,house,bank,sale,time,rate
8,charge,chase,transaction,card,dispute,claim,fraud,merchant,purchase,service,phone,number,email,day,department
8,balance,interest,rate,statement,transfer,purchase,card,month,apr,date,charge,offer,chase,advance,period
8,check,bank,fund,money,deposit,day,branch,cash,chase,hold,claim,business,customer,atm,manager
8,payment,month,day,auto,statement,time,chase,credit,date,bill,car,mortgage,error,history,phone
8,fee,overdraft,transaction,year,card,fund,bank,dollar,customer,time,service,chase,month,day,bill
9,account,chase,reason,access,letter,information,branch,number,business,balance,saving,deposit,year,activity,fund
9,card,credit,chase,limit,point,score,balance,purchase,year,offer,service,customer,reward,application,month
9,loan,mortgage,chase,home,modification,property,year,rate,letter,foreclosure,document,house,sale,time,process
9,bank,money,transaction,claim,fund,day,number,fraud,atm,transfer,branch,debit,person,phone,customer
9,payment,month,statement,balance,day,interest,auto,credit,time,date,bill,chase,car,mortgage,error
9,check,fund,deposit,bank,day,chase,branch,hold,cash,business,cashier,customer,teller,week,saving
9,credit,report,inquiry,company,information,debt,score,bureaus,reporting,jpmcb,identity,letter,bank,theft,agency
9,fee,balance,overdraft,interest,transfer,statement,rate,month,year,transaction,dollar,purchase,customer,bill,fund
9,charge,dispute,chase,merchant,fraud,transaction,claim,company,letter,purchase,service,statement,refund,email,information
10,account,chase,reason,access,letter,information,branch,number,business,saving,deposit,balance,year,activity,fund
10,card,credit,chase,point,limit,score,year,service,offer,application,customer,reward,time,purchase,company
10,loan,mortgage,chase,home,modification,property,year,letter,foreclosure,document,house,sale,time,rate,process
10,bank,money,transaction,claim,fund,day,number,fraud,transfer,atm,branch,person,debit,phone,customer
10,payment,month,day,auto,statement,time,credit,bill,chase,date,mortgage,car,error,history,plan
10,check,fund,deposit,day,bank,chase,branch,hold,cash,business,cashier,customer,teller,week,saving
10,credit,report,inquiry,company,debt,information,score,bureaus,reporting,jpmcb,identity,letter,theft,bank,agency
10,fee,overdraft,transaction,year,fund,dollar,customer,time,service,month,day,bill,deposit,account,item
10,charge,dispute,chase,merchant,fraud,transaction,claim,company,letter,purchase,service,refund,statement,email,information
10,balance,interest,rate,statement,transfer,purchase,month,apr,date,credit,period,advance,cycle,bill,billing
11,account,chase,reason,access,branch,business,deposit,saving,number,balance,fund,information,activity,year,identity
11,card,credit,chase,limit,score,year,point,application,offer,reward,service,reason,company,month,freedom
11,loan,mortgage,modification,home,chase,year,property,foreclosure,house,document,sale,letter,rate,time,process
11,transaction,chase,claim,number,fraud,phone,information,day,dispute,email,letter,service,department,customer,time
11,payment,month,day,time,auto,statement,credit,chase,bill,date,mortgage,car,error,history,phone
11,check,fund,deposit,day,branch,chase,hold,cash,business,cashier,customer,saving,teller,week,manager
11,report,credit,inquiry,company,debt,information,score,bureaus,reporting,jpmcb,identity,letter,theft,agency,creditor
11,fee,overdraft,transaction,year,fund,dollar,customer,time,service,day,month,bill,chase,deposit,item
11,charge,dispute,merchant,fraud,company,statement,purchase,card,fraudulent,chase,month,bill,vendor,item,investigation
11,bank,money,fund,transfer,deposit,dollar,person,atm,wire,debit,branch,cash,day,manager,help
11,balance,interest,rate,statement,transfer,purchase,month,apr,date,chase,period,advance,credit,offer,cycle
12,account,chase,reason,access,deposit,saving,business,branch,fund,balance,activity,year,identity,number,fraud
12,card,credit,chase,limit,score,year,point,purchase,company,freedom,reward,reason,application,month,offer
12,loan,mortgage,modification,home,year,property,chase,foreclosure,house,sale,rate,document,income,jp,time
12,transaction,claim,fraud,debit,atm,money,chase,department,police,day,fund,investigation,pin,purchase,withdrawal
12,payment,month,day,auto,time,statement,credit,bill,chase,mortgage,date,car,error,history,plan
12,check,fund,deposit,day,branch,chase,cash,hold,business,cashier,saving,teller,week,customer,manager
12,report,credit,inquiry,company,debt,score,bureaus,information,reporting,jpmcb,identity,theft,agency,creditor,file
12,fee,overdraft,year,customer,dollar,service,fund,time,chase,month,day,bill,transaction,deposit,practice
12,charge,dispute,merchant,fraud,company,purchase,statement,fraudulent,card,investigation,item,vendor,service,billing,bill
12,bank,money,fund,transfer,person,wire,deposit,dollar,branch,day,manager,atm,help,people,number
12,balance,interest,rate,statement,transfer,purchase,month,apr,date,chase,period,advance,offer,cycle,credit
12,chase,letter,information,number,phone,dispute,service,email,customer,time,complaint,day,address,response,refund
13,account,chase,reason,access,deposit,business,fund,saving,branch,balance,activity,year,number,identity,fraud
13,credit,report,debt,score,company,bureaus,information,reporting,limit,agency,identity,letter,theft,creditor,bureau
13,loan,mortgage,modification,home,year,property,chase,foreclosure,house,sale,rate,document,income,jp,process
13,card,credit,chase,year,purchase,point,reward,freedom,limit,application,month,reason,offer,debit,service
13,payment,month,day,auto,time,statement,chase,bill,mortgage,date,car,error,history,plan,pay
13,check,fund,deposit,day,branch,cash,hold,chase,business,cashier,saving,teller,week,customer,manager
13,inquiry,report,jpmcb,application,authorization,verification,proof,inquirie,2018,organization,credit,company,knowledge,date,inquire
13,fee,overdraft,year,dollar,customer,time,service,fund,day,month,chase,bill,transaction,deposit,practice
13,charge,dispute,merchant,fraud,company,purchase,statement,fraudulent,investigation,item,vendor,billing,bill,service,refund
13,bank,money,fund,transfer,person,deposit,wire,dollar,branch,day,manager,atm,help,people,number
13,balance,interest,rate,statement,transfer,purchase,month,apr,date,chase,period,advance,credit,offer,cycle
13,chase,letter,number,information,phone,dispute,service,email,customer,time,complaint,day,address,response,refund
13,transaction,claim,fraud,debit,atm,money,police,department,day,chase,fund,investigation,pin,purchase,withdrawal
14,account,chase,reason,access,fund,deposit,business,saving,branch,balance,activity,year,number,identity,fraud
14,credit,report,debt,score,company,bureaus,information,reporting,limit,agency,identity,letter,theft,creditor,bureau
14,loan,mortgage,modification,home,year,property,chase,foreclosure,house,sale,rate,document,income,time,jp
14,card,credit,chase,year,purchase,point,reward,limit,freedom,month,application,reason,offer,service,debit
14,payment,month,day,auto,time,statement,chase,bill,mortgage,date,car,error,history,plan,pay
14,check,fund,deposit,day,branch,cash,hold,chase,business,cashier,saving,teller,week,customer,manager
14,inquiry,report,jpmcb,application,authorization,verification,proof,inquirie,2018,organization,credit,company,knowledge,date,inquire
14,fee,overdraft,year,dollar,customer,time,fund,service,day,month,chase,bill,deposit,transaction,practice
14,charge,dispute,merchant,fraud,company,purchase,statement,fraudulent,investigation,item,vendor,bill,service,billing,refund
14,bank,fund,complaint,jp,manager,customer,debit,wire,morgan,2018,problem,person,information,security,number
14,balance,interest,rate,statement,transfer,purchase,month,apr,date,chase,period,credit,advance,offer,cycle
14,chase,letter,information,number,phone,dispute,service,email,customer,time,complaint,address,day,response,refund
14,transaction,claim,fraud,debit,atm,department,police,fund,investigation,purchase,pin,chase,withdrawal,day,merchant
14,money,day,transfer,person,fund,atm,deposit,dollar,company,order,branch,wire,people,time,bill
15,account,chase,reason,access,fund,saving,deposit,business,branch,balance,activity,year,identity,number,fraud
15,card,credit,chase,limit,score,year,company,point,purchase,freedom,reward,reason,month,application,offer
15,mortgage,home,modification,property,year,foreclosure,house,chase,sale,escrow,insurance,month,bankruptcy,document,time
15,chase,letter,information,number,phone,dispute,service,customer,email,time,complaint,day,address,refund,issue
15,payment,month,day,statement,time,credit,auto,bill,date,chase,error,history,car,plan,pay
15,check,fund,deposit,day,branch,cash,hold,chase,business,cashier,saving,teller,week,manager,customer
15,report,inquiry,credit,score,jpmcb,bureaus,reporting,information,identity,company,theft,application,inquirie,inquire,authorization
15,fee,overdraft,year,dollar,customer,fund,time,service,day,month,chase,bill,deposit,transaction,practice
15,charge,dispute,merchant,fraud,company,purchase,statement,fraudulent,card,item,investigation,vendor,bill,service,month
15,bank,fund,complaint,customer,jp,manager,debit,wire,morgan,2018,problem,number,person,security,information
15,balance,interest,rate,statement,transfer,purchase,month,apr,date,chase,period,advance,offer,cycle,billing
15,debt,company,collection,letter,credit,agency,creditor,collector,information,court,consumer,bankruptcy,law,report,validation
15,transaction,claim,fraud,debit,atm,department,police,investigation,fund,purchase,card,pin,withdrawal,chase,day
15,money,day,transfer,fund,person,atm,deposit,dollar,order,branch,wire,company,people,bill,time
15,loan,modification,rate,home,car,auto,student,application,document,chase,year,lender,income,process,interest
16,account,chase,reason,access,fund,deposit,saving,business,branch,balance,activity,year,identity,number,fraud
16,credit,report,score,bureaus,limit,reporting,information,agency,bureau,history,identity,theft,file,police,line
16,mortgage,home,modification,property,year,foreclosure,house,chase,sale,escrow,insurance,month,bankruptcy,document,time
16,card,credit,chase,company,purchase,year,point,reward,freedom,month,debit,reason,limit,offer,service
16,payment,month,day,statement,time,auto,bill,date,chase,error,car,history,plan,pay,issue
16,check,fund,deposit,day,branch,cash,hold,chase,business,cashier,saving,teller,week,manager,customer
16,inquiry,report,jpmcb,company,authorization,verification,application,proof,inquirie,2018,organization,knowledge,section,date,method
16,fee,overdraft,year,dollar,customer,fund,time,service,day,chase,month,bill,deposit,transaction,practice
16,charge,dispute,merchant,fraud,company,statement,purchase,fraudulent,investigation,item,vendor,bill,billing,service,month
16,bank,fund,complaint,customer,jp,manager,debit,wire,morgan,2018,problem,number,information,person,security
16,balance,interest,rate,statement,transfer,purchase,month,apr,date,chase,credit,period,advance,offer,cycle
16,chase,letter,number,information,phone,dispute,service,customer,email,time,complaint,day,address,refund,issue
16,transaction,claim,fraud,debit,atm,department,police,investigation,fund,pin,purchase,withdrawal,day,chase,merchant
16,money,day,transfer,fund,atm,person,deposit,dollar,order,branch,wire,company,people,time,bill
16,loan,modification,rate,home,car,auto,student,application,document,chase,lender,year,income,process,interest
16,debt,company,collection,letter,agency,collector,creditor,court,information,law,consumer,validation,bankruptcy,signature,contract
17,account,chase,reason,access,fund,deposit,saving,business,branch,balance,activity,year,number,closure,identity
17,credit,score,limit,chase,year,line,application,bureaus,history,bureau,reporting,file,agency,letter,reason
17,mortgage,home,modification,property,year,foreclosure,house,chase,sale,escrow,insurance,month,bankruptcy,document,time
17,card,chase,purchase,company,credit,debit,point,reward,freedom,month,service,offer,amazon,year,sapphire
17,payment,month,day,time,statement,auto,bill,date,error,chase,car,history,plan,pay,system
17,check,fund,deposit,day,branch,cash,hold,chase,business,cashier,saving,teller,week,manager,customer
17,report,identity,police,theft,information,credit,fraud,victim,item,bureaus,date,auto,jpmcb,creditor,reporting
17,fee,overdraft,year,dollar,customer,time,fund,service,day,chase,month,bill,deposit,item,practice
17,charge,dispute,merchant,fraud,company,statement,purchase,fraudulent,investigation,item,vendor,bill,billing,car,month
17,bank,fund,complaint,customer,jp,manager,debit,wire,morgan,2018,problem,number,information,person,security
17,balance,interest,rate,statement,transfer,purchase,month,apr,date,chase,period,advance,offer,cycle,billing
17,chase,letter,information,number,phone,dispute,customer,service,email,time,complaint,day,address,refund,issue
17,transaction,claim,fraud,debit,atm,fund,department,investigation,pin,purchase,withdrawal,police,day,chase,merchant
17,money,day,transfer,atm,person,fund,deposit,dollar,order,branch,wire,company,people,number,time
17,loan,modification,rate,home,car,auto,student,document,application,lender,chase,year,income,process,interest
17,inquiry,company,jpmcb,authorization,verification,application,proof,report,credit,inquirie,2018,organization,knowledge,section,method
17,debt,company,collection,letter,agency,collector,creditor,court,consumer,law,validation,bankruptcy,information,tax,right
18,account,chase,reason,access,saving,balance,business,activity,branch,deposit,year,closure,relationship,online,notice
18,credit,report,score,bureaus,limit,information,reporting,agency,bureau,history,file,identity,line,theft,auto
18,mortgage,home,modification,property,year,foreclosure,house,sale,escrow,insurance,bankruptcy,month,chase,document,time
18,card,credit,purchase,company,year,chase,debit,reward,point,freedom,month,business,limit,application,service
18,payment,month,day,statement,time,auto,bill,date,error,car,chase,history,plan,pay,system
18,check,deposit,cash,branch,day,cashier,hold,chase,saving,teller,week,signature,mail,payee,copy
18,inquiry,report,jpmcb,company,authorization,verification,proof,application,inquirie,2018,organization,knowledge,section,date,method
18,fee,overdraft,year,dollar,time,customer,service,bill,month,day,practice,transaction,item,protection,way
18,charge,dispute,merchant,fraud,company,purchase,statement,fraudulent,investigation,item,day,vendor,service,billing,bill
18,bank,complaint,customer,jp,debit,2018,morgan,problem,cash,manager,2020,issue,dollar,year,help
18,balance,interest,rate,statement,transfer,purchase,month,apr,date,credit,advance,period,chase,cycle,offer
18,chase,letter,dispute,customer,service,refund,point,complaint,flight,offer,issue,time,response,merchant,request
18,transaction,claim,fraud,debit,atm,purchase,merchant,investigation,pin,department,withdrawal,police,day,chase,cash
18,money,day,atm,person,dollar,transfer,order,claim,people,deposit,machine,chase,week,bill,time
18,loan,modification,rate,home,car,auto,student,application,document,lender,year,income,process,chase,interest
18,number,information,phone,address,fraud,email,department,person,security,branch,time,message,letter,day,identity
18,debt,company,collection,letter,collector,agency,creditor,court,consumer,law,validation,bankruptcy,tax,signature,contract
18,fund,deposit,day,business,branch,transfer,hold,wire,access,manager,hour,time,customer,chase,employer
19,account,reason,access,saving,chase,balance,business,deposit,activity,branch,year,closure,online,relationship,identity
19,credit,score,limit,year,line,application,bureaus,history,bureau,reporting,file,agency,time,increase,rating
19,mortgage,home,modification,property,year,foreclosure,house,sale,escrow,insurance,month,bankruptcy,document,time,jp
19,card,purchase,credit,company,debit,reward,point,month,service,freedom,amazon,offer,year,business,benefit
19,payment,month,day,statement,time,auto,bill,date,error,car,history,plan,pay,system,issue
19,check,deposit,cash,branch,day,cashier,hold,saving,teller,week,signature,chase,business,mail,fraud
19,report,police,identity,credit,theft,information,fraud,victim,item,bureaus,date,auto,jpmcb,creditor,reporting
19,fee,overdraft,year,customer,dollar,time,service,bill,month,day,transaction,item,practice,protection,way
19,charge,dispute,merchant,fraud,company,statement,purchase,fraudulent,item,service,investigation,refund,vendor,day,billing
19,bank,complaint,jp,debit,2018,morgan,customer,cash,problem,manager,year,dollar,2020,issue,help
19,balance,interest,rate,statement,transfer,purchase,month,apr,date,advance,period,cycle,offer,bill,billing
19,chase,letter,dispute,refund,point,customer,flight,offer,complaint,issue,ticket,request,reason,service,response
19,transaction,claim,fraud,debit,atm,merchant,purchase,department,investigation,pin,withdrawal,police,day,activity,evidence
19,money,day,atm,person,dollar,transfer,order,deposit,people,claim,machine,week,bill,help,wire
19,loan,modification,rate,home,car,auto,student,document,application,lender,year,income,process,interest,finance
19,number,information,phone,address,email,letter,service,day,customer,time,department,branch,message,fraud,person
19,debt,company,collection,letter,agency,collector,creditor,court,consumer,law,bankruptcy,validation,tax,right,signature
19,fund,deposit,day,transfer,business,branch,hold,wire,access,manager,hour,time,employer,chase,unemployment
19,inquiry,company,jpmcb,authorization,verification,proof,application,inquirie,2018,credit,report,organization,knowledge,section,2020
20,account,reason,access,saving,chase,business,activity,deposit,year,branch,closure,relationship,online,identity,notice
20,credit,score,limit,year,line,application,bureaus,history,bureau,reporting,file,agency,time,increase,rating
20,mortgage,home,modification,property,year,foreclosure,house,sale,escrow,insurance,bankruptcy,month,document,time,jp
20,card,purchase,credit,company,debit,reward,point,month,service,freedom,amazon,offer,business,benefit,year
20,payment,month,day,statement,time,auto,bill,date,error,car,history,plan,pay,system,issue
20,check,deposit,cash,branch,day,cashier,hold,saving,teller,week,signature,chase,business,mail,fraud
20,report,police,identity,credit,theft,information,fraud,victim,item,bureaus,date,jpmcb,auto,creditor,reporting
20,fee,overdraft,year,customer,dollar,time,service,bill,month,day,transaction,practice,item,protection,way
20,charge,dispute,merchant,fraud,company,statement,purchase,fraudulent,item,service,investigation,refund,vendor,day,billing
20,bank,complaint,jp,debit,2018,morgan,customer,cash,problem,manager,2020,dollar,issue,year,help
20,balance,transfer,statement,interest,purchase,date,apr,month,limit,chase,period,slate,cycle,offer,wire
20,chase,letter,dispute,refund,point,customer,flight,offer,complaint,issue,ticket,request,reason,service,response
20,transaction,claim,fraud,debit,atm,merchant,purchase,department,investigation,pin,withdrawal,police,day,activity,evidence
20,money,day,atm,person,dollar,transfer,order,claim,deposit,people,machine,week,bill,help,wire
20,loan,modification,car,home,auto,student,document,application,lender,process,income,year,finance,jp,officer
20,number,information,phone,address,email,letter,service,customer,day,time,department,branch,message,fraud,person
20,debt,company,collection,letter,agency,collector,creditor,court,consumer,law,bankruptcy,validation,tax,signature,right
20,fund,deposit,day,business,branch,transfer,hold,wire,access,manager,hour,time,employer,unemployment,chase
20,inquiry,company,jpmcb,authorization,verification,proof,application,inquirie,2018,credit,report,organization,knowledge,section,2020
20,interest,rate,month,statement,year,purchase,apr,date,advance,term,increase,consumer,cash,period,change
